tt.term_brand,tt.term_mdl_code,tt.os,tt.model,tt.price,name
三星,GT-E1088C,android,其他,NULL,
三星,GT-E1150C,android,其他,NULL,
三星,GT-S5360,android,Galaxy Y,NULL,
三星,I8510,android,其他,NULL,
三星,S5200C,android,其他,NULL,
三星,SGH-i308,NULL,NULL,NULL,
三星,SGH-i600,NULL,NULL,NULL,
三星,SGH-i718,NULL,NULL,NULL,
三星,SGH-i858,NULL,NULL,NULL,
三星,SM-N9008S,android,Galaxy Note 3,NULL,
三星,SM-N910U,android,Galaxy Note 4,NULL,
三星,SM-N9200,android,Galaxy Note 5,NULL,
三星,SM-N920S,android,Galaxy Note 5,NULL,
三星,SM-N960U,android,Galaxy Note 9,NULL,
华为,ABR-AL80,android, HUAWEI P50,4158,
华为,BAL-AL60,android,HUAWEI Pocket S ,6655,
华为,D2-2010,android,华为Ascend D2,NULL,
华为,EVA-L29,android,P9,NULL,
华为,HUAWEI G610-U20,NULL,NULL,NULL,
华为,HUAWEI T7320,android,T320,NULL,
华为,NEO-AL00,android,儿童手表3s,NULL,
小米科技,2015201,android,小米5,NULL,
小米科技,2016001,android,小米MAX,NULL,
小米科技,2016080,android,小米MIX,NULL,
小米科技,2016089,android,小米5,NULL,
小米科技,21081111RG,,NULL,NULL,
小米科技,M2101K9R,,NULL,NULL,
欧珀,CPH1931,android,A5 2020,NULL,
步步高,V2166A,android,vivo Y77e,NULL,
步步高,V2301A,android,iQOO Neo8 Pro,2799,
苹果,A3096,IOS,畅享 70,8332,
苹果,iPhone 8 A1906,ios,iPhone 6S PLUS,NULL,
荣耀,ARE-AL10,android,荣耀8X MAX,NULL,
realme,RMX3081,,NULL,NULL,
realme,RMX3220,NULL,NULL,NULL,
realme,RMX3301,,NULL,NULL,
realme,RMX3333,NULL,NULL,NULL,
realme,RMX3612,,NULL,NULL,
realme,RMX3888,,NULL,NULL,
realme,RMX3996,NULL,NULL,NULL,
三星,GT-S6500D,android,其他,NULL,
三星,PF5028,NULL,NULL,NULL,
三星,SGH-C138,NULL,NULL,NULL,
三星,SGH-C327,,NULL,NULL,
三星,SGH-E258,android,三星E300,NULL,
三星,SGH-E398,android,三星E418,NULL,
三星,SM-A715F/DS,android,Galaxy A71,2899,
三星,SM-A9000,android,Galaxy A90,NULL,
三星,SM-C1116,android,Galaxy S5 Zoom,NULL,
华为,Ascend G730,android,G730,NULL,
华为,ETS315M,android,座机,NULL,
华为,JEF-AN20,android,华为Nova 7,3199,
华为,MT7-TL10,android,Mate 7,NULL,
华为,S7-601U,android,MediaPad S7,NULL,
华为,Vodafone 830s,NULL,NULL,NULL,
小米科技,2201116SC,android,Redmi Note 11E Pro,1899,
小米科技,M1803E6E,android,红米6,764,
小米科技,MCT1,android,红米 5A,NULL,
步步高,V2163A,android,VivoY55s,3296,
步步高,Y23L,android,其他,NULL,
步步高,vivo X6SPlus L,NULL,NULL,NULL,
荣耀,STF-AL10,android,荣耀9,NULL,
三星,C101,android,其他,NULL,
三星,E1080F,android,其他,NULL,
三星,E1100C,android,其他,NULL,
三星,E1100H,android,其他,NULL,
三星,GT-I8552,android,Galaxy Win,NULL,
三星,I5800,android,其他,NULL,
三星,SGH-B130S,android,其他,NULL,
三星,SM-C7108,android,Galaxy C8,NULL,
三星,SM-G965U,android,Galaxy S9+,NULL,
华为,AGS5-AL00,,NULL,NULL,
华为,E6878-370,android,其他,NULL,
华为,E6878-870,android,其他,NULL,
华为,FP515H,android,其他,NULL,
华为,HUAWEI G510-0010,android,G510,NULL,
华为,VCE-TL00,android,酷玩6,1558,
小米科技,2014216,android,小米4,NULL,
小米科技,2014716,android,小米4,NULL,
小米科技,2015817,android,红米3,NULL,
小米科技,22101317C,android,Redmi Note 12 5G,1424,
小米科技,2304FPN6DG,,NULL,NULL,
小米科技,M1903C3EE,android,小米 7,NULL,
欧珀,PCAM10,android,R15X,NULL,
欧珀,PEXM00,android,Oppo K9 Pro,1974,
步步高,BBK K9,NULL,NULL,NULL,
步步高,V2073A,android,其他,1824,
步步高,V2366GA,android,Galaxy A71,NULL,
步步高,vivo X520,NULL,NULL,NULL,
步步高,vivo Y13i,NULL,NULL,NULL,
步步高,vivo Y35L,NULL,NULL,NULL,
苹果,A1550,ios,iPad Air 2,NULL,
荣耀,GEM-703L,android,荣耀X2,NULL,
荣耀,PE-UL00,android,其他,NULL,
realme,RMX2112,android,Realme V5,1649,
realme,RMX3687,android,Realme GT Neo5 SE,1999,
三星,C3053,android,其他,NULL,
三星,GT-P5100,android,Galaxy Tab 2 10.1,NULL,
三星,SM-G9758,android,Galaxy S10+,NULL,
三星,SM-G9860,android,Galaxy S20+,NULL,
华为,ABR-AL90,android, HUAWEI P50E,4288,
华为,AGM3-AL09HN,,NULL,NULL,
华为,HUAWEI T7050,NULL,NULL,NULL,
华为,HUAWEI T7500,NULL,NULL,NULL,
华为,HUAWEI VNS-CL00,android,G9 青春版,NULL,
小米科技,21121119SC,android,Redmi Note 11 4G,1417,
步步高,vivo 1725,NULL,NULL,NULL,
苹果,A2125,ios,iPad mini 5,NULL,
苹果,A3108,IOS,M60Pro,11999,
荣耀,AUM-TL00,android,荣耀10,NULL,
荣耀,U8860,android,其他,NULL,
荣耀,U9508,android,其他,NULL,
realme,RMX3357,android,Realme GT 大师版,1999,
三星,B7722,NULL,NULL,NULL,
三星,GT-I9070,android,Galaxy S,NULL,
三星,SCH-I909,android,Galaxy S Duos,NULL,
三星,SGH-C516,android,Batteries Plus Bulbs,NULL,
三星,SGH-S710i,NULL,NULL,NULL,
三星,SGH-X210,android,其他,NULL,
三星,SGH-X468,android,其他,NULL,
三星,SGH-X495,android,其他,NULL,
三星,SGH-X508,android,其他,NULL,
三星,SGH-X648,android,其他,NULL,
三星,SGH-X828,android,其他,NULL,
三星,SM-F916N,android,Galaxy Z Fold2,19500,
三星,SM-N981N,android,Galaxy Note20,4499,
三星,SPH-W9700,android,其他,NULL,
华为,TAS-L09,android,Mate 30,NULL,
小米科技,2013022,android,红米1,NULL,
小米科技,2014813,android,红米2,NULL,
小米科技,24069RA21C,android,Pura 70 Ultra,NULL,
小米科技,M1901F7BE,android,红米 Note7,NULL,
欧珀,OPPO A33m,android,A33,NULL,
欧珀,OPPO A37t,android,A37,NULL,
欧珀,OPPO A59s,android,A59S,NULL,
欧珀,OPPO A77t,android,A79,NULL,
欧珀,PJT110,android,iPhone 5S ,NULL,
步步高,V2238A,android, vivo S16e,2519,
苹果,A2157,ios,iPhone 11 Pro ,NULL,
苹果,iPhone 5S A1533,ios,V7,NULL,
荣耀,KIW-CL00,android,荣耀畅玩5X,NULL,
荣耀,MAA-AN10,ANDROID,其他,3874,
荣耀,MYA-TL10,android,荣耀畅玩6,NULL,
realme,RMX3125,android,Realme Q3 Pro,NULL,
三星,GT-S5680,android,其他,NULL,
三星,GT-S7278,android,其他,NULL,
三星,I8510C,android,三星i8510,NULL,
三星,SGH-2400,android,其他,NULL,
三星,SGH-I637,android,三星杰克 i637,NULL,
三星,SGH-T219S,android,其他,NULL,
三星,SHW-M100S,android,Galaxy S,NULL,
三星,SM-T2558,android,Galaxy Tab Q,NULL,
华为,AMN-LX3,android,Y5,NULL,
华为,BON-AL00,ANDROID,小米14 Ultra,3699,
华为,TYH612M,android,麦芒11,2299,
小米科技,22071212AG,,NULL,NULL,
小米科技,M1803D5XE,android,小米MIX2S,NULL,
小米科技,M1803D5XT,android,小米MIX2S,NULL,
小米科技,M1804C3CE,android,红米6,NULL,
小米科技,M1804C3CT,android,红米6,NULL,
欧珀,CPH1707,android,R11,NULL,
欧珀,PDPM00,android,Reno 4,3149,
步步高,V2002A,android,X50 Pro,2231,
步步高,V2239A,android,vivo X90 ,2299,
步步高,vivo X5Pro V,android,X5,NULL,
步步高,vivo X9Plus L,android,X9s,2498,
苹果,A2376,,NULL,NULL,
苹果,A2605,,NULL,NULL,
苹果,A2628,,NULL,NULL,
苹果,A2632,,NULL,NULL,
苹果,A2650,,NULL,NULL,
苹果,A2777,,NULL,NULL,
苹果,A2885,,NULL,NULL,
苹果,iPhone 5C A1456,NULL,NULL,NULL,
苹果,iPhone 5C A1532,NULL,NULL,NULL,
荣耀,H30-T10,android,荣耀3C,840,
荣耀,LID-LX3,,NULL,NULL,
realme,RMX3560,android,Realme GT Neo 3,2299,
三星,GT-I9070P,android,Galaxy S Advance,NULL,
三星,I458,NULL,NULL,NULL,
三星,I589,NULL,NULL,NULL,
三星,I917,NULL,NULL,NULL,
三星,N9006,android,Galaxy Note3,NULL,
三星,S3710,NULL,NULL,NULL,
三星,SM-A5260,android,Galaxy A8 2018 Duos TD-LTE,3199,
三星,SM-G610F,android,Galaxy On7,NULL,
三星,SM-G930FD,android,Galaxy S7,NULL,
三星,SM-G935FD,android,Galaxy S7,NULL,
三星,SM-G935W8,android,Galaxy S7,NULL,
华为,ME909s-821,NULL,NULL,NULL,
小米科技,M1808D2TC,android,小米 8,NULL,
欧珀,OPPO A31,android,A31,NULL,
欧珀,OPPO A77,android,A77,NULL,
欧珀,PGEM10,android,OPPO Find X6,4749,
步步高,V1818ET,android,Y93,NULL,
步步高,Y28L,android,Y29L,NULL,
步步高,vivo S11t,NULL,NULL,NULL,
步步高,vivo Y67,android,Y67,1098,
苹果,A2481,ios,iPhone 13mini 美版,NULL,
苹果,iPhone 11 (A2221),ios,iPhone 6S Plus ,4799,
荣耀,ALP-AN00,,NULL,NULL,
荣耀,BLN-AL20,android,荣耀畅玩6X,NULL,
荣耀,JAT-L29X,android,荣耀畅玩8A,838,
荣耀,KIW-AL10,android,荣耀畅玩5X,NULL,
荣耀,NZA-LX1N,,NULL,NULL,
三星,GT-S3550,android,其他,NULL,
三星,SM-F916U1,android,Galaxy Z Fold2 5G,19500,
三星,SM-S9180,android,Galaxy Tab 3 Lite,9403,
华为,EVR-TL00,android,P9,NULL,
华为,H122-373,android,其他,NULL,
华为,HUAWEI G620-L72,android,G620,NULL,
华为,HUAWEI T2251,NULL,NULL,NULL,
小米科技,2312DRAABC,android,其他,1324,
小米科技,2407FRK8EC,NULL,NULL,NULL,
欧珀,CPH1727,android,Find 5,NULL,
步步高,BBK K203M,NULL,NULL,NULL,
步步高,V2009A,android,其他,NULL,
步步高,V2020CA,android,iQOO U1,2948,
步步高,vivo X5Max+,android,vivo X5Max,NULL,
荣耀,BMH-TN10,android,荣耀30,3295,
荣耀,SCC-L21,android,其他,NULL,
三星,B3210,NULL,NULL,NULL,
三星,GT-S7350C,android,其他,NULL,
三星,I519,android,三星I519,NULL,
三星,SGH-S308,android,其他,NULL,
三星,SGH-T208,android,其他,NULL,
三星,SGH-U608,android,其他,NULL,
三星,SGH-U900,android,其他,NULL,
三星,SM-G3558,android,Galaxy Core 2,NULL,
三星,SM-G9008V,android,Galaxy S5,NULL,
三星,SM-N975U,android,Galaxy Note10+,NULL,
华为,ET188,NULL,NULL,NULL,
华为,HUAWEI Y523-L176,android,Y523,NULL,
华为,JKM-AL00,android,Y9,NULL,
华为,MGA-AL40,android,荣耀 魔术 V 5G,1399,
小米科技,2211133G,,NULL,NULL,
小米科技,MCE3B,android,小米5,NULL,
欧珀,CPH2145,,NULL,NULL,
欧珀,CPH2195,,NULL,NULL,
欧珀,CPH2271,,NULL,NULL,
欧珀,CPH2285,,NULL,NULL,
欧珀,CPH2325,,NULL,NULL,
欧珀,CPH2357,,NULL,NULL,
欧珀,CPH2505,,NULL,NULL,
欧珀,R8107,android,OPPO R5,NULL,
步步高,V2012A,android,iQOO Z1x,1873,
步步高,V2066BA,android,Vivo Y31s,1499,
步步高,V2232A,android,vivoY30,3174,
步步高,V2318A,ANDROID,其他,4274,
步步高,vivo NEX S,android,S1,NULL,
步步高,vivo X6SPlus,android,X6S Plus,NULL,
苹果,iPhone 6S A1691,NULL,NULL,NULL,
苹果,iPhone X A1901,ios,iPhone XS ,NULL,
荣耀,KNT-AL20,android,荣耀V8,NULL,
三星,GT-B3410,android,其他,NULL,
三星,GT-M3318C,android,其他,NULL,
三星,GT-S5690,android,Galaxy Xcover,NULL,
三星,GT-S6102,android,Galaxy Y Duos,NULL,
三星,SCH-i839,NULL,NULL,NULL,
华为,HUAWEI T1201,NULL,NULL,NULL,
华为,HUAWEI T1800,NULL,NULL,NULL,
华为,LON-AL00,android,Mate 9 Pro,2289,
华为,MU203,android,其他,NULL,
华为,S7-721u,NULL,NULL,NULL,
华为,VKY-AL00,android,P10 Plus,NULL,
小米科技,2304FPN6DC,android,小米13 Ultra,6599,
欧珀,OPPO A113,NULL,NULL,NULL,
欧珀,OPPO A127,NULL,NULL,NULL,
欧珀,OPPO A203,NULL,NULL,NULL,
欧珀,OPPO A613,NULL,NULL,NULL,
欧珀,OPPO F15,NULL,NULL,NULL,
欧珀,OPPO F29,NULL,NULL,NULL,
欧珀,OPPO R9sk,android,R9s,2499,
步步高,V2041,,NULL,NULL,
步步高,V2050,,NULL,NULL,
步步高,V2111A,android,Vivo T1 5G,1849,
步步高,V2118,,NULL,NULL,
步步高,V2190A,android,iQOO Neo6,2266,
步步高,vivo X520A,android,其他,NULL,
荣耀,ALI-AN00,android,Honor X50,1699,
荣耀,Che2-TL00H,NULL,NULL,NULL,
三星,C5510,ANDROID,其他,NULL,
三星,GT-N7108D,android,Galaxy Note II ,1600,
三星,GT-S3370,android,S3370,NULL,
三星,I7500,,NULL,NULL,
三星,I7910,NULL,NULL,NULL,
三星,I9003,NULL,NULL,NULL,
三星,SCH-I919,android,Galaxy S Duos,1990,
三星,SGH-B310R,NULL,NULL,NULL,
三星,SGH-P730C,android,其他,NULL,
三星,SM-S9110,android,三星Galaxy S23+,5363,
华为,BRT-AN09,,NULL,NULL,
华为,HUAWEI ALE-L02,NULL,NULL,NULL,
华为,HUAWEI G629-UL00,android,G629,NULL,
华为,HUAWEI NXT-L29,NULL,NULL,NULL,
华为,LDN-TL20,android,畅享8,NULL,
华为,TC7102,NULL,NULL,NULL,
华为,VKY-L29,android,P10 Plus,1499,
小米科技,M2007J3SC,android,小米 10T Pro,3298,
小米科技,M2101K7BI,,NULL,NULL,
步步高,vivo V1,android,Z1i,NULL,
步步高,vivo V3,android,V3,NULL,
步步高,vivo X21i A,android,X21,NULL,
苹果,A2636,ios,iPhone 13 Pro (CA/MX/JP/SA/A2636),NULL,
荣耀,HLK-L41,android,HONOR 9X PRO,NULL,
三星,GT-I9195,android,其他,NULL,
三星,I9001,android, Galaxy S Plus,NULL,
三星,SM-G7508Q,android,Galaxy Mega 2,1099,
华为,E169,android,其他,NULL,
华为,EVA-AL00,android,P9,NULL,
华为,F316,android,其他,NULL,
华为,F361,android,其他,NULL,
华为,FLA-AL20,android,畅享8 Plus,NULL,
小米科技,23078RKD5C,android,Redmi K60 Ultra,NULL,
小米科技,M1908C3JH,android,红米Note 8 Pro,NULL,
欧珀,OPPO 3005,android,其他,NULL,
欧珀,PDRM00,android,其他,4332,
步步高,V1801A0,android,Z1,1398,
步步高,V2023A,android,iQOO U1,NULL,
步步高,V2278A,android,VIVO Y35+,NULL,
荣耀,NZA-TN00,android,其他,1199,
realme,RMX2144,android,Realme 7,2749,
三星,GT-I9082C,android,Galaxy Grand Duos,NULL,
三星,GT-N7000,android,N7000,NULL,
三星,S7070C,android,其他,NULL,
三星,SGH-P110,android,其他,NULL,
三星,SGH-P318,android,其他,NULL,
三星,SGH-P408,android,其他,NULL,
三星,SGH-Z140,NULL,NULL,NULL,
三星,SM-A9100,android,其他,NULL,
三星,SM-E7009,android,Galaxy E7,NULL,
三星,SM-G3819D,android,Galaxy Beam 2,NULL,
三星,SM-J3300,android,Galaxy J3,NULL,
三星,SM-N9810,android,Galaxy Note 20,4499,
华为,Ascend P6（电信版）,NULL,NULL,NULL,
华为,E3276s-861,NULL,NULL,NULL,
华为,GEM-702L,android,荣耀X2,NULL,
华为,JKM-TL00,android,畅享9 Plus,NULL,
小米科技,2112123AG,,NULL,NULL,
小米科技,M1901F9T,android,小米 9,999,
步步高,BBK V205,NULL,NULL,NULL,
步步高,V2061A,android,iQOO U1x,1598,
步步高,V2118A,android,vivo X60t Pro,2499,
步步高,V2121A,android,Vivo Y53s,3199,
步步高,V2186A,android,Vivo T2x,6066,
三星,707SC,NULL,NULL,NULL,
三星,C3222,NULL,NULL,NULL,
三星,C3510,NULL,NULL,NULL,
三星,SCH-W279,android,其他,NULL,
三星,SCH-W319,android,其他,NULL,
三星,SCH-W599,android,其他,NULL,
三星,SHV-E300S,android,Galaxy S4,1235,
三星,SM-C9008,android,Galaxy C9 Pro,NULL,
三星,SM-G973U,android,其他,NULL,
三星,SM-J330L,,NULL,NULL,
三星,Samsung SM-N910K,NULL,NULL,NULL,
华为,CHA-AL80,android,华为nova10z,1799,
华为,G51MI,NULL,NULL,NULL,
华为,HUAWEI CRR-CL20,android,Mate S,NULL,
华为,HUAWEI RIO-TL00,android,G7 Plus,NULL,
华为,HUAWEI SCL-L04,NULL,NULL,NULL,
华为,MGI-AN00,android,其他,NULL,
华为,PPA-LX1,,NULL,NULL,
华为,U9200,android,其他,NULL,
小米科技,M2012K10C,android,Redmi K40,2259,
欧珀,OPPO U705T,android,U705,NULL,
欧珀,PDYM10,android,其他,NULL,
欧珀,PHW110,android,其他,2766,
步步高,V2220A,android,其他,1899,
步步高,V2227A,android,vivo X Fold+,6749,
步步高,V2324A,,NULL,NULL,
步步高,V2329A,,NULL,NULL,
步步高,V2338A,,NULL,NULL,
步步高,vivo V2,NULL,NULL,NULL,
苹果,A2215,ios,iPhone 11 Pro,5033,
荣耀,ASK-AL00x,android,荣耀play3,1199,
荣耀,BKK-AL00,android,荣耀畅玩8C,NULL,
realme,RMX3043,android,Realme 8,1699,
realme,RMX3463,android,其他,1666,
realme,RMX3571,android,OPPO  Realme Q5i,1799,
三星,GT-C3053,android,其他,NULL,
三星,SGH-L168,android,其他,NULL,
三星,SGH-L258,android,其他,NULL,
三星,SGH-L708,android,其他,NULL,
三星,SGH-L870,android,其他,NULL,
三星,SGH-M310,android,其他,NULL,
三星,SGH-X506,NULL,NULL,NULL,
华为,ADY-AL00,,NULL,NULL,
华为,JER-AN20,android,华为Nova7 Pro,3899,
华为,荣耀路由XD16,NULL,NULL,NULL,
小米科技,2015015,android,红米Note,NULL,
小米科技,2015056,android,小米4C,NULL,
小米科技,2015501,android,小米4C,NULL,
小米科技,2015711,android,小米5S,NULL,
小米科技,23124RN87C,,NULL,NULL,
小米科技,M2011K2C,android,Redmi K40 游戏增强版,3842,
欧珀,A37f,NULL,NULL,NULL,
欧珀,PEHT00,android,其他,1749,
欧珀,PHZ110,,NULL,NULL,
步步高,V2217A,android,iQOO 10 Pro,4174,
荣耀,CUN-TL00,android,荣耀畅玩5,NULL,
荣耀,JAT-AL00,android,荣耀畅玩8A,838,
realme,RMX2176,android,其他,2099,
三星,B5702C,android,其他,NULL,
三星,GT-I9500,android,Galaxy S4,1235,
三星,GT-I9505,android,Galaxy S4,1235,
三星,GT-N7108,android,Galaxy Note II,1600,
三星,GT-S8000C,android,其他,NULL,
三星,SGH-2200,NULL,NULL,NULL,
三星,SM-C7010,android,Galaxy C7 Pro,NULL,
华为,DUB-TL00a,NULL,NULL,NULL,
华为,LIO-AL00,android,Mate30 pro,6395,
华为,NOH-AN50,android,Mate40E Pro,7099,
华为,U8110,android,其他,NULL,
小米科技,22095RA98C,android,Redmi Note 11R,1499,
小米科技,22101316C,android,Redmi Note 12,1424,
小米科技,M1804D2SE,android,小米6X,NULL,
步步高,H319,android,其他,NULL,
步步高,I309,android,其他,NULL,
步步高,V1934A,android,IQOO Neo 855版,1398,
步步高,V2272A,android,VIVO Y78M,1399,
步步高,vivo X20A,android,X20 plus,NULL,
荣耀,FNE-AN00,android,荣耀70,3032,
荣耀,HUAWEI T8950,android,T8950,NULL,
荣耀,Hol-T00,android,荣耀3C畅玩版,NULL,
三星,3600,android,其他,NULL,
三星,SGH-D900i,NULL,NULL,NULL,
三星,SGH-J218,android,其他,NULL,
三星,SGH-J808,android,其他,NULL,
三星,SM-F926N,,NULL,NULL,
三星,SM-R8450,android,Galaxy Watch3,NULL,
华为,GTM900,android,其他,NULL,
华为,MAR-LX2J,android,Huawei P30 lite,NULL,
小米科技,2014619,android,红米Note,NULL,
小米科技,2014911,android,红米Note,NULL,
小米科技,2014916,android,红米Note,NULL,
小米科技,2201116SG,,NULL,NULL,
小米科技,22021211RC,android,Redmi K50 标准版,NULL,
欧珀,CPH1701,android,A57,1499,
欧珀,PDEM10,android,Find X2,4499,
步步高,V1936AL,android,iQOO Neo 855,NULL,
步步高,V2143A,android,Vivo X70 Pro+,999,
步步高,vivo Y913,android,其他,799,
苹果,A2218,ios,iPhone 11,5810,
苹果,iPhone 6S PLUS A1699,ios,荣耀200,NULL,
荣耀,STF-TL10,android,荣耀9,NULL,
荣耀,TEL_TN10,NULL,NULL,NULL,
荣耀,TNY-AL00,android,荣耀Magic 2,NULL,
三星,GT-C3300I,android,其他,NULL,
三星,GT-S7562C,android,Galaxy Trend Duos,NULL,
三星,S8000H,android,其他,NULL,
三星,SGH-2200C,NULL,NULL,NULL,
三星,SM-G3812,android,其他,NULL,
三星,SM-G988U,android,Galaxy S20 Ultra 5G,9544,
三星,SM-J710GN/DS,android,Galaxy J7,NULL,
三星,SM-S7110,android,其他,5363,
华为,ALT-AL00,android,HUAWEI Mate X3,13499,
华为,HUAWEI RIO-L02,NULL,NULL,NULL,
华为,MRD-TL00,android,其他,NULL,
小米科技,2312DRA50C,android,其他,1766,
欧珀,CPH2037,android,Reno3 Pro,3666,
欧珀,OPPO A11,android,A30,1499,
三星,GT-S3601C,android,S3601,NULL,
三星,SGH-C238,android,三星 SGH-C260,NULL,
三星,SGH-G508,android,其他,NULL,
三星,SGH-I560,android,其他,NULL,
三星,SGH-M919,android,Galaxy S4,1235,
三星,SM-F711U,,NULL,NULL,
三星,SM-G981V,android,Galaxy S20,5999,
华为,HUAWEI MT7-J1,NULL,NULL,NULL,
华为,HUAWEI eH880,NULL,NULL,NULL,
华为,LEO-DLXX,android,LEO-DLXXU,NULL,
华为,STK-L21,android,Y9,NULL,
小米科技,M2006C3LG,android,红米9A,744,
小米科技,M2006J21I,NULL,NULL,NULL,
欧珀,CPH2127,android,A53,1532,
欧珀,OPPO R11s,android,R11s Plus,NULL,
步步高,K318,android,K318,NULL,
荣耀,ELP-AN00,android,Apple Watch Ultra 2,NULL,
荣耀,KIW-TL00H,android,荣耀畅玩5X,NULL,
荣耀,TEL_AN10,android,iPhone 8 Plus,NULL,
三星,C3310C,android,其他,NULL,
三星,M5650U,android,其他,NULL,
三星,SGH-L878E,android,其他,NULL,
三星,SHV-E270K,android,Galaxy Grand,NULL,
三星,SM-A700FD,android,Galaxy A7,NULL,
三星,SM-G9910,android,Galaxy S21+,4449,
三星,SM-J3110,android,Galaxy J3 Pro,NULL,
三星,T959,android,其他,NULL,
华为,A199,android,Ascend G710,NULL,
华为,AGS2-AL00HN,android,荣耀平板5,NULL,
华为,ANA-NX9,android,P40,4413,
华为,HUAWEI ET5321,NULL,NULL,NULL,
华为,MOA-TL00,android,荣耀畅玩9A,1189,
小米科技,M1804E4A,android,小米 Max3,NULL,
欧珀,6607,android,6607,NULL,
欧珀,OPPO X907,android,Find 7,NULL,
欧珀,OPPO X909,android,Find 5,NULL,
步步高,vivo X510w,NULL,NULL,NULL,
荣耀,SCL-CL00,android,华为Y6,NULL,
realme,RMX3370,android,OPPO Realme V23 5G ,2532,
三星,GT-I9308,android,Galaxy S3,NULL,
三星,GT-S7898,android,GALAXY Ace Ⅲ,NULL,
三星,S7120U,NULL,NULL,NULL,
三星,SGH-E108,android,其他,NULL,
三星,SGH-E310,android,其他,NULL,
三星,SGH-E338,android,其他,NULL,
三星,SGH-E428,android,其他,NULL,
三星,SGH-E568,android,其他,NULL,
三星,SGH-E590,android,其他,NULL,
三星,SGH-E608,android,其他,NULL,
三星,SGH-E838,android,其他,NULL,
三星,SGH-E888,android,其他,NULL,
三星,SGH-F300,android,其他,NULL,
三星,SGH-F480I,android,其他,NULL,
三星,SM-R9450,,NULL,NULL,
华为,BZW-AL00,android,其他,NULL,
华为,C8300,NULL,NULL,NULL,
华为,HUAWEI T209,NULL,NULL,NULL,
华为,HUAWEI T565,NULL,NULL,NULL,
华为,HUAWEI Y321-C00,android,Y321,NULL,
华为,JAD-AL00,android,华为 P50 Pro,6927,
华为,JAD-AL50,android,华为 P50 Pro,6927,
华为,JDN-AL00,android,荣耀平板2,NULL,
华为,KTY-L10,,NULL,NULL,
华为,PAL-LX9,,NULL,NULL,
华为,TRT-TL10,android,畅享7 Plus,NULL,
欧珀,PERM00,android,OPPO K9s 5G,1732,
步步高,K312,ANDROID,其他,NULL,
苹果,iPhone 6 A1586,ios,iPhone 6S,NULL,
realme,RMX3619,android,Realme 10 Pro,1199,
三星,GT-I9008L,android,Galaxy S,NULL,
三星,GT-I9210,NULL,NULL,NULL,
三星,P729,android,其他,1300,
三星,S3110C,android,其他,NULL,
三星,SCH-I679,android,其他,430,
三星,SHW-M240S,android,Galaxy S2,NULL,
三星,SM-A920F,android,Galaxy A9,NULL,
三星,SM-X906C,,NULL,NULL,
华为,CET-LX9,,NULL,NULL,
华为,CLT-L04,android,P20 Pro,NULL,
华为,CLT-L09,android,P20 Pro,NULL,
华为,DUB-AL00a,android,畅享9,NULL,
华为,EVR-AN00,android,Mate20 X,4999,
华为,FIN-AL60,,NULL,NULL,
华为,U8818,android,G330 ASCEND ,NULL,
小米科技,2201123C,android,Xiaomi 12 标准版,NULL,
小米科技,F6M1AB,android,其他,NULL,
小米科技,M1901F7G,android,红米Note 7,999,
欧珀,PBDM00,android,R17 pro,NULL,
欧珀,R601,android,其他,NULL,
步步高,vivo Xplay6L,android,vivo Xshot,3498,
步步高,vivo Y937,android,VIVO YOUTH,NULL,
荣耀,KIW-UL00,android,荣耀畅玩5X,NULL,
三星,SGH-B100,android,其他,NULL,
三星,SGH-B308,android,其他,NULL,
三星,SGH-C168,android,其他,NULL,
三星,SGH-C208,android,其他,NULL,
三星,SGH-C276,android,其他,NULL,
三星,SGH-CC01,android,其他,NULL,
三星,SGH-D100A,NULL,NULL,NULL,
三星,SGH-D108,android,其他,NULL,
三星,SGH-D428,android,其他,NULL,
三星,SGH-D608,android,其他,NULL,
三星,SGH-D838,android,其他,NULL,
三星,SGH-D888,android,其他,NULL,
三星,SM-G900T,android,Galaxy S5,NULL,
三星,SM-G906S,android,Galaxy S5,NULL,
三星,SM-G9208,android,Galaxy S6,NULL,
三星,SM-G925L,android,Galaxy S6,NULL,
三星,SM-G928S,android,Galaxy S6,NULL,
三星,SM-G9298,android,Galaxy S7,NULL,
三星,SM-G930T,android,Galaxy S7,NULL,
三星,SM-G935T,android,Galaxy S7,NULL,
三星,SM-G9508,android,Galaxy S8,NULL,
华为,HUAWEI ET302,NULL,NULL,NULL,
华为,HUAWEI ET316,NULL,NULL,NULL,
华为,TAS-AN00,android,Mate30,4444,
华为,TGR-L10,,NULL,NULL,
华为,U9510E,android,其他,NULL,
小米科技,M1804E4T,android,红米6 Pro,NULL,
小米科技,M1902F1C,android,小米9,NULL,
小米科技,M1903F2A,android,小米9,NULL,
欧珀,OPPO R7,android,R7 Plus,NULL,
欧珀,PEUM00,android,OPPO K9,8349,
荣耀,ANN-AN00,android,华为 荣耀80,NULL,
荣耀,M46235,ANDROID,其他,NULL,
三星,I829,android,Galaxy Style Duos),NULL,
三星,S8003,android,其他,NULL,
三星,S8300,android,其他,NULL,
三星,SCH-W399,NULL,NULL,NULL,
三星,SM-A5100,android,Galaxy A5,NULL,
三星,SM-G850F,android,Galaxy Alpha,NULL,
三星,SM-G9098,android,Galaxy Round,NULL,
三星,SM-G991N,,NULL,NULL,
